Mach,alpha_deg,Cd,Cn,Cm
0.3,-20,0.6984,-4.83307,18.21458
0.3,-16,0.6159,-3.73916,12.31549
0.3,-12,0.5384,-2.66,7.88415
0.3,-8,0.4787,-1.6055,4.22214
0.3,-4,0.4414,-0.73825,1.94917
0.3,-2,0.4363,-0.37502,1.08278
0.3,0,0.4363,0.0,0.0
0.3,2,0.4363,0.37502,-1.08278
0.3,4,0.4414,0.73825,-1.94917
0.3,8,0.4787,1.6055,-4.22214
0.3,12,0.5384,2.66,-7.88415
0.3,16,0.6159,3.73916,-12.31549
0.3,20,0.6984,4.83307,-18.21458
0.5,-20,0.6915,-4.88768,18.72789
0.5,-16,0.6098,-3.78397,12.57388
0.5,-12,0.5324,-2.693,8.03422
0.5,-8,0.472,-1.6166,4.3058
0.5,-4,0.4357,-0.7345,1.93888
0.5,-2,0.4298,-0.36676,0.98351
0.5,0,0.4298,0.0,0.0
0.5,2,0.4298,0.36676,-0.98351
0.5,4,0.4357,0.7345,-1.93888
0.5,8,0.472,1.6166,-4.3058
0.5,12,0.5324,2.693,-8.03422
0.5,16,0.6098,3.78397,-12.57388
0.5,20,0.6915,4.88768,-18.72789
0.8,-20,0.73,-5.15679,19.69147
0.8,-16,0.64,-3.93871,13.59626
0.8,-12,0.5631,-2.807,8.28823
0.8,-8,0.4979,-1.6521,4.62113
0.8,-4,0.4604,-0.7279,1.95067
0.8,-2,0.4527,-0.35004,0.83454
0.8,0,0.4527,0.0,0.0
0.8,2,0.4527,0.35004,-0.83454
0.8,4,0.4604,0.7279,-1.95067
0.8,8,0.4979,1.6521,-4.62113
0.8,12,0.5631,2.807,-8.28823
0.8,16,0.64,3.93871,-13.59626
0.8,20,0.73,5.15679,-19.69147
1.2,-20,0.9849,-5.57617,17.6608
1.2,-16,0.8918,-4.24571,13.44876
1.2,-12,0.8075,-2.976,8.79849
1.2,-8,0.7413,-1.796,4.66007
1.2,-4,0.6986,-0.78618,1.71065
1.2,-2,0.6904,-0.37305,0.74855
1.2,0,0.6904,0.0,0.0
1.2,2,0.6904,0.37305,-0.74855
1.2,4,0.6986,0.78618,-1.71065
1.2,8,0.7413,1.796,-4.66007
1.2,12,0.8075,2.976,-8.79849
1.2,16,0.8918,4.24571,-13.44876
1.2,20,0.9849,5.57617,-17.6608
2.0,-20,0.7402,-6.28438,10.35893
2.0,-16,0.6788,-4.02372,7.31974
2.0,-12,0.6259,-2.5034,5.67056
2.0,-8,0.5895,-1.4876,3.47439
2.0,-4,0.5678,-0.65028,1.29386
2.0,-2,0.5602,-0.3103,0.55136
2.0,0,0.5602,0.0,0.0
2.0,2,0.5602,0.3103,-0.55136
2.0,4,0.5678,0.65028,-1.29386
2.0,8,0.5895,1.4876,-3.47439
2.0,12,0.6259,2.5034,-5.67056
2.0,16,0.6788,4.02372,-7.31974
2.0,20,0.7402,6.28438,-10.35893
3.0,-20,0.541,-6.4352,11.99051
3.0,-16,0.7992,-4.37178,6.8949
3.0,-12,0.4644,-2.5985,3.46957
3.0,-8,0.441,-1.311,1.89568
3.0,-4,0.5671,-0.54143,0.83524
3.0,-2,0.4265,-0.25527,0.37386
3.0,0,0.4265,0.0,0.0
3.0,2,0.4265,0.25527,-0.37386
3.0,4,0.5671,0.54143,-0.83524
3.0,8,0.441,1.311,-1.89568
3.0,12,0.4644,2.5985,-3.46957
3.0,16,0.7992,4.37178,-6.8949
3.0,20,0.541,6.4352,-11.99051
4.0,-20,0.4399,-5.96349,11.65801
4.0,-16,0.4069,-4.16616,7.44728
4.0,-12,0.3819,-2.585,3.96638
4.0,-8,0.367,-1.296,1.70548
4.0,-4,0.3553,-0.48271,0.63761
4.0,-2,0.3538,-0.22178,0.28594
4.0,0,0.3538,0.0,0.0
4.0,2,0.3538,0.22178,-0.28594
4.0,4,0.3553,0.48271,-0.63761
4.0,8,0.367,1.296,-1.70548
4.0,12,0.3819,2.585,-3.96638
4.0,16,0.4069,4.16616,-7.44728
4.0,20,0.4399,5.96349,-11.65801
5.0,-20,0.3806,-5.58413,10.90864
5.0,-16,0.3543,-3.89562,7.15309
5.0,-12,0.3345,-2.44275,4.08819
5.0,-8,0.3242,-1.25251,1.83339
5.0,-4,0.3144,-0.43978,0.54621
5.0,-2,0.3127,-0.19371,0.23349
5.0,0,0.3127,0.0,0.0
5.0,2,0.3127,0.19371,-0.23349
5.0,4,0.3144,0.43978,-0.54621
5.0,8,0.3242,1.25251,-1.83339
5.0,12,0.3345,2.44275,-4.08819
5.0,16,0.3543,3.89562,-7.15309
5.0,20,0.3806,5.58413,-10.90864
