Mach,delta_deg,Ch_delta,Cb_delta,Ch_alpha,Cb_alpha
0.3,0,0,0,0.01,0.015
0.3,4,0.00908549,-0.004357647,0.01,0.015
0.3,8,0.020203922,-0.010345098,0.01,0.015
0.3,12,0.031717647,-0.01654902,0.01,0.015
0.3,20,0.045396078,-0.029678431,0.01,0.015
0.5,0,0,0,0.012,0.018
0.5,4,0.009457933,-0.004473744,0.012,0.018
0.5,8,0.02107284,-0.010547713,0.012,0.018
0.5,12,0.033060418,-0.016798419,0.012,0.018
0.5,20,0.04582157,-0.029220779,0.012,0.018
0.8,0,0,0,0.015,0.022
0.8,4,0.01070814,-0.004648136,0.015,0.022
0.8,8,0.024310611,-0.010244871,0.015,0.022
0.8,12,0.036885065,-0.015464372,0.015,0.022
0.8,20,0.051621443,-0.028127068,0.015,0.022
1.2,0,0,0,0.018,0.027
1.2,4,0.013529412,-0.003378431,0.018,0.027
1.2,8,0.026470588,-0.00695098,0.018,0.027
1.2,12,0.037284314,-0.010470588,0.018,0.027
1.2,20,0.058843137,-0.016823529,0.018,0.027
2,0,0,0,0.02,0.03
2,4,0.007596188,-0.001720791,0.02,0.03
2,8,0.015199435,-0.003495235,0.02,0.03
2,12,0.022760325,-0.005195905,0.02,0.03
2,20,0.037804448,-0.008757501,0.02,0.03
3,0,0,0,0.018,0.027
3,4,0.005066667,-0.001197804,0.018,0.027
3,8,0.010326275,-0.002470588,0.018,0.027
3,12,0.015717647,-0.003802353,0.018,0.027
3,20,0.0264,-0.006454902,0.018,0.027
4,0,0,0,0.016,0.024
4,4,0.003719329,-0.000912621,0.016,0.024
4,8,0.007698147,-0.00188173,0.016,0.024
4,12,0.012056487,-0.002953222,0.016,0.024
4,20,0.021818182,-0.005385702,0.016,0.024
5,0,0,0,0.014,0.021
5,4,0.002962168,-0.000766234,0.014,0.021
5,8,0.006250706,-0.001574816,0.014,0.021
5,12,0.009971767,-0.002479955,0.014,0.021
5,20,0.019034444,-0.004645398,0.014,0.021
