Mach,alpha_deg,def_roll,Cll
0.3,0.0,0.0,0.000000
0.3,2.0,0.0,0.000000
0.3,4.0,0.0,0.000000
0.3,8.0,0.0,0.000000
0.3,12.0,0.0,0.000000
0.3,16.0,0.0,0.000000
0.3,20.0,0.0,0.000000
0.5,0.0,0.0,0.000000
0.5,2.0,0.0,0.000000
0.5,4.0,0.0,0.000000
0.5,8.0,0.0,0.000000
0.5,12.0,0.0,0.000000
0.5,16.0,0.0,0.000000
0.5,20.0,0.0,0.000000
0.8,0.0,0.0,0.000000
0.8,2.0,0.0,0.000000
0.8,4.0,0.0,0.000000
0.8,8.0,0.0,0.000000
0.8,12.0,0.0,0.000000
0.8,16.0,0.0,0.000000
0.8,20.0,0.0,0.000000
1.21,0.0,0.0,0.000000
1.21,2.0,0.0,0.000000
1.21,4.0,0.0,0.000000
1.21,8.0,0.0,0.000000
1.21,12.0,0.0,0.000000
1.21,16.0,0.0,0.000000
1.21,20.0,0.0,0.000000
2.0,0.0,0.0,0.000000
2.0,2.0,0.0,0.000000
2.0,4.0,0.0,0.000000
2.0,8.0,0.0,0.000000
2.0,12.0,0.0,0.000000
2.0,16.0,0.0,0.000000
2.0,20.0,0.0,0.000000
3.0,0.0,0.0,0.000000
3.0,2.0,0.0,0.000000
3.0,4.0,0.0,0.000000
3.0,8.0,0.0,0.000000
3.0,12.0,0.0,0.000000
3.0,16.0,0.0,0.000000
3.0,20.0,0.0,0.000000
4.0,0.0,0.0,0.000000
4.0,2.0,0.0,0.000000
4.0,4.0,0.0,0.000000
4.0,8.0,0.0,0.000000
4.0,12.0,0.0,0.000000
4.0,16.0,0.0,0.000000
4.0,20.0,0.0,0.000000
5.0,0.0,0.0,0.000000
5.0,2.0,0.0,0.000000
5.0,4.0,0.0,0.000000
5.0,8.0,0.0,0.000000
5.0,12.0,0.0,0.000000
5.0,16.0,0.0,0.000000
5.0,20.0,0.0,0.000000
0.3,0.0,5.0,-0.04897
0.3,2.0,5.0,-0.05054
0.3,4.0,5.0,-0.04933
0.3,8.0,5.0,-0.04404
0.3,12.0,5.0,-0.07
0.3,16.0,5.0,-0.066
0.3,20.0,5.0,-0.0362
0.5,0.0,5.0,-0.04763
0.5,2.0,5.0,-0.05051
0.5,4.0,5.0,-0.04968
0.5,8.0,5.0,-0.03953
0.5,12.0,5.0,-0.06791
0.5,16.0,5.0,-0.06447
0.5,20.0,5.0,-0.03248
0.8,0.0,5.0,-0.04675
0.8,2.0,5.0,-0.05237
0.8,4.0,5.0,-0.05094
0.8,8.0,5.0,-0.06239
0.8,12.0,5.0,-0.07464
0.8,16.0,5.0,-0.07639
0.8,20.0,5.0,-0.04013
1.21,0.0,5.0,-0.06515
1.21,2.0,5.0,-0.06322
1.21,4.0,5.0,-0.06662
1.21,8.0,5.0,-0.05408
1.21,12.0,5.0,-0.09653
1.21,16.0,5.0,-0.12574
1.21,20.0,5.0,-0.07836
2.0,0.0,5.0,-0.04018
2.0,2.0,5.0,-0.0433
2.0,4.0,5.0,-0.04326
2.0,8.0,5.0,-0.07322
2.0,12.0,5.0,-0.10196
2.0,16.0,5.0,-0.05024
2.0,20.0,5.0,-0.05586
3.0,0.0,5.0,-0.02112
3.0,2.0,5.0,-0.02567
3.0,4.0,5.0,-0.04055
3.0,8.0,5.0,-0.08193
3.0,12.0,5.0,-0.05972
3.0,16.0,5.0,-0.05489
3.0,20.0,5.0,-0.07351
4.0,0.0,5.0,-0.01842
4.0,2.0,5.0,-0.02375
4.0,4.0,5.0,-0.03892
4.0,8.0,5.0,-0.06152
4.0,12.0,5.0,-0.05049
4.0,16.0,5.0,-0.064
4.0,20.0,5.0,-0.07011
5.0,0.0,5.0,-0.01826
5.0,2.0,5.0,-0.02251
5.0,4.0,5.0,-0.03413
5.0,8.0,5.0,-0.04893
5.0,12.0,5.0,-0.05153
5.0,16.0,5.0,-0.06202
5.0,20.0,5.0,-0.07044
0.3,0.0,10.0,-0.10175
0.3,2.0,10.0,-0.09793
0.3,4.0,10.0,-0.10358
0.3,8.0,10.0,-0.08012
0.3,12.0,10.0,-0.13017
0.3,16.0,10.0,-0.13159
0.3,20.0,10.0,-0.09163
0.5,0.0,10.0,-0.10239
0.5,2.0,10.0,-0.09823
0.5,4.0,10.0,-0.10433
0.5,8.0,10.0,-0.07226
0.5,12.0,10.0,-0.12717
0.5,16.0,10.0,-0.13132
0.5,20.0,10.0,-0.09188
0.8,0.0,10.0,-0.10644
0.8,2.0,10.0,-0.1019
0.8,4.0,10.0,-0.10541
0.8,8.0,10.0,-0.07528
0.8,12.0,10.0,-0.13956
0.8,16.0,10.0,-0.14938
0.8,20.0,10.0,-0.10157
1.21,0.0,10.0,-0.1378
1.21,2.0,10.0,-0.12891
1.21,4.0,10.0,-0.12985
1.21,8.0,10.0,-0.10934
1.21,12.0,10.0,-0.18753
1.21,16.0,10.0,-0.23385
