time_s,thrust_N,mass_flow_kg_s
0.0,0.0,0.0
0.01,50145.4,20.611538588010916
0.02,50387.2,20.71092696721581
0.03,50342.6,20.69259478478182
0.05,50294.4,20.672782874617738
0.06,50249.0,20.654121863799283
0.07,50206.3,20.636570648778402
0.08,50166.4,20.620170333103154
0.09,50129.0,20.60479760612936
0.1,50094.1,20.590452467857023
0.11,50061.6,20.577093814738088
0.13,50031.5,20.564721646772547
0.14,50003.8,20.55333596396041
0.15,49978.5,20.542936766301665
0.16,49955.5,20.533482950248263
0.17,49934.8,20.524974515800203
0.18,49916.3,20.517370359409423
0.2,49899.9,20.510629377527867
0.21,49885.5,20.504710466607477
0.22,49872.7,20.499449212456017
0.23,49861.5,20.49484561507349
0.24,49851.6,20.490776363815723
0.26,49842.7,20.487118148038537
0.27,49834.6,20.48378876064582
0.28,49827.2,20.480747098089505
0.29,49820.2,20.477869849725426
0.3,49064.4,20.167209233501037
0.32,48721.8,20.02638847785341
0.33,48476.6,19.925602578014534
0.34,48278.7,19.84425865640722
0.35,48110.8,19.775245799217387
0.36,47964.4,19.715070204860083
0.38,47834.3,19.661594488836275
0.39,47717.0,19.613380026963927
0.4,47610.3,19.569522541185755
0.41,47512.4,19.529282167636712
0.43,47422.2,19.49220676728815
0.44,47338.5,19.45780309756338
0.45,47260.8,19.425865640722108
0.47,47188.5,19.396147775475978
0.48,47121.2,19.368485087632763
0.49,47058.6,19.342754266548287
0.5,47000.5,19.318873105126432
0.52,46946.7,19.296759396271085
0.53,46897.0,19.276330932886125
0.54,46851.3,19.2575466114235
0.56,46809.3,19.240283121239024
0.57,46770.8,19.22445825523659
0.58,46735.8,19.210072013416198
0.59,46703.9,19.19695998158561
0.61,46675.0,19.18508105619677
0.62,46648.9,19.17435303015356
0.63,46625.4,19.16469369635987
0.65,46604.3,19.156020847719574
0.66,46585.7,19.148375587780734
0.67,46569.2,19.14159350235112
0.69,46555.0,19.13575679852685
0.7,46542.8,19.13074216566374
0.71,46532.6,19.126549603761795
0.73,46524.3,19.12313800927296
0.74,46517.9,19.120507382197232
0.75,46513.2,19.11857551543849
0.77,46510.3,19.1173835125448
0.78,46508.9,19.116808062871986
0.79,46509.2,19.11693137351616
0.81,46511.0,19.11767123738121
0.82,46514.3,19.119027654467136
0.83,46519.0,19.12095952122587
0.85,46525.1,19.123466837657425
0.86,46532.6,19.126549603761795
0.87,46541.4,19.130166715990924
0.89,46551.4,19.134277070796752
0.9,46562.6,19.138880668179276
0.91,46575.1,19.14401861168656
0.93,46588.7,19.149608694222483
0.94,46603.4,19.15565091578705
0.95,46619.2,19.162145276380254
0.97,46636.1,19.1690917760021
0.98,46654.0,19.176449311104534
1.0,46672.9,19.184217881687548
1.01,46692.8,19.192397487751144
1.02,46713.7,19.200988129295318
1.04,46735.5,19.20994870277202
