Mach,alpha_deg,Reynolds,CA
0.29,0.0,100000.0,0.67
0.3,0.0,100000.0,0.67
0.5,0.0,100000.0,0.668
0.7,0.0,100000.0,0.666
0.9,0.0,100000.0,0.747
1.2,0.0,100000.0,1.143
2.0,0.0,100000.0,0.946
3.0,0.0,100000.0,0.835
4.0,0.0,100000.0,0.756
5.0,0.0,100000.0,0.697
0.29,2.0,100000.0,0.669
0.3,2.0,100000.0,0.669
0.5,2.0,100000.0,0.667
0.7,2.0,100000.0,0.665
0.9,2.0,100000.0,0.746
1.2,2.0,100000.0,1.141
2.0,2.0,100000.0,0.945
3.0,2.0,100000.0,0.835
4.0,2.0,100000.0,0.755
5.0,2.0,100000.0,0.697
0.29,4.0,100000.0,0.667
0.3,4.0,100000.0,0.667
0.5,4.0,100000.0,0.665
0.7,4.0,100000.0,0.662
0.9,4.0,100000.0,0.743
1.2,4.0,100000.0,1.136
2.0,4.0,100000.0,0.943
3.0,4.0,100000.0,0.834
4.0,4.0,100000.0,0.755
5.0,4.0,100000.0,0.697
0.29,6.0,100000.0,0.664
0.3,6.0,100000.0,0.664
0.5,6.0,100000.0,0.662
0.7,6.0,100000.0,0.659
0.9,6.0,100000.0,0.739
1.2,6.0,100000.0,1.128
2.0,6.0,100000.0,0.938
3.0,6.0,100000.0,0.832
4.0,6.0,100000.0,0.755
5.0,6.0,100000.0,0.698
0.29,8.0,100000.0,0.662
0.3,8.0,100000.0,0.662
0.5,8.0,100000.0,0.659
0.7,8.0,100000.0,0.653
0.9,8.0,100000.0,0.732
1.2,8.0,100000.0,1.116
2.0,8.0,100000.0,0.932
3.0,8.0,100000.0,0.829
4.0,8.0,100000.0,0.754
5.0,8.0,100000.0,0.698
0.29,10.0,100000.0,0.662
0.3,10.0,100000.0,0.662
0.5,10.0,100000.0,0.658
0.7,10.0,100000.0,0.649
0.9,10.0,100000.0,0.725
1.2,10.0,100000.0,1.1
2.0,10.0,100000.0,0.924
3.0,10.0,100000.0,0.826
4.0,10.0,100000.0,0.753
5.0,10.0,100000.0,0.698
0.29,12.0,100000.0,0.663
0.3,12.0,100000.0,0.663
0.5,12.0,100000.0,0.659
0.7,12.0,100000.0,0.648
0.9,12.0,100000.0,0.722
1.2,12.0,100000.0,1.082
2.0,12.0,100000.0,0.915
3.0,12.0,100000.0,0.822
