Mach,alpha_deg,Reynolds,CA
0.29,0.0,100000.0,0.54
0.3,0.0,100000.0,0.54
0.5,0.0,100000.0,0.538
0.7,0.0,100000.0,0.538
0.9,0.0,100000.0,0.622
1.2,0.0,100000.0,0.96
2.0,0.0,100000.0,0.807
3.0,0.0,100000.0,0.745
4.0,0.0,100000.0,0.694
5.0,0.0,100000.0,0.659
0.29,2.0,100000.0,0.539
0.3,2.0,100000.0,0.539
0.5,2.0,100000.0,0.537
0.7,2.0,100000.0,0.537
0.9,2.0,100000.0,0.621
1.2,2.0,100000.0,0.958
2.0,2.0,100000.0,0.806
3.0,2.0,100000.0,0.745
4.0,2.0,100000.0,0.694
5.0,2.0,100000.0,0.659
0.29,4.0,100000.0,0.537
0.3,4.0,100000.0,0.537
0.5,4.0,100000.0,0.535
0.7,4.0,100000.0,0.535
0.9,4.0,100000.0,0.618
1.2,4.0,100000.0,0.954
2.0,4.0,100000.0,0.803
3.0,4.0,100000.0,0.744
4.0,4.0,100000.0,0.694
5.0,4.0,100000.0,0.66
0.29,6.0,100000.0,0.535
0.3,6.0,100000.0,0.535
0.5,6.0,100000.0,0.533
0.7,6.0,100000.0,0.531
0.9,6.0,100000.0,0.614
1.2,6.0,100000.0,0.946
2.0,6.0,100000.0,0.799
3.0,6.0,100000.0,0.742
4.0,6.0,100000.0,0.693
5.0,6.0,100000.0,0.66
0.29,8.0,100000.0,0.533
0.3,8.0,100000.0,0.533
0.5,8.0,100000.0,0.53
0.7,8.0,100000.0,0.526
0.9,8.0,100000.0,0.608
1.2,8.0,100000.0,0.934
2.0,8.0,100000.0,0.794
3.0,8.0,100000.0,0.74
4.0,8.0,100000.0,0.693
5.0,8.0,100000.0,0.66
0.29,10.0,100000.0,0.534
0.3,10.0,100000.0,0.534
0.5,10.0,100000.0,0.53
0.7,10.0,100000.0,0.523
0.9,10.0,100000.0,0.602
1.2,10.0,100000.0,0.92
2.0,10.0,100000.0,0.787
3.0,10.0,100000.0,0.737
4.0,10.0,100000.0,0.692
5.0,10.0,100000.0,0.661
0.29,12.0,100000.0,0.536
0.3,12.0,100000.0,0.535
0.5,12.0,100000.0,0.531
0.7,12.0,100000.0,0.523
0.9,12.0,100000.0,0.6
1.2,12.0,100000.0,0.903
2.0,12.0,100000.0,0.778
3.0,12.0,100000.0,0.734
4.0,12.0,100000.0,0.691
5.0,12.0,100000.0,0.661
0.29,14.0,100000.0,0.537
0.3,14.0,100000.0,0.537
0.5,14.0,100000.0,0.533
0.7,14.0,100000.0,0.525
0.9,14.0,100000.0,0.599
