Mach,alpha_deg,Cmq,Cnq,Clp
0.3,-20,-23.974,2.489,-0.135
0.3,-16,-27.151,2.501,-0.12
0.3,-12,-29.277,2.607,-0.107
0.3,-8,-30.478,2.794,-0.099
0.3,-4,-30.118,2.855,-0.101
0.3,-2,-28.572,2.726,-0.108
0.3,0,-29.798,2.947,-0.094
0.3,2,-28.572,2.726,-0.108
0.3,4,-30.118,2.855,-0.101
0.3,8,-30.478,2.794,-0.099
0.3,12,-29.277,2.607,-0.107
0.3,16,-27.151,2.501,-0.12
0.3,20,-23.974,2.489,-0.135
0.5,-20,-23.812,2.506,-0.137
0.5,-16,-27.149,2.523,-0.123
0.5,-12,-29.5,2.591,-0.108
0.5,-8,-30.821,2.769,-0.1
0.5,-4,-30.666,2.843,-0.101
0.5,-2,-29.125,2.724,-0.109
0.5,0,-30.316,2.955,-0.095
0.5,2,-29.125,2.724,-0.109
0.5,4,-30.666,2.843,-0.101
0.5,8,-30.821,2.769,-0.1
0.5,12,-29.5,2.591,-0.108
0.5,16,-27.149,2.523,-0.123
0.5,20,-23.812,2.506,-0.137
0.8,-20,-22.859,2.115,-0.12
0.8,-16,-26.034,2.105,-0.112
0.8,-12,-28.422,2.175,-0.102
0.8,-8,-29.848,2.382,-0.097
0.8,-4,-30.267,2.499,-0.101
0.8,-2,-29.073,2.417,-0.112
0.8,0,-30.824,2.71,-0.097
0.8,2,-29.073,2.417,-0.112
0.8,4,-30.267,2.499,-0.101
0.8,8,-29.848,2.382,-0.097
0.8,12,-28.422,2.175,-0.102
0.8,16,-26.034,2.105,-0.112
0.8,20,-22.859,2.115,-0.12
1.2,-20,-23.833,1.839,-0.101
1.2,-16,-26.368,1.869,-0.098
1.2,-12,-28.782,1.996,-0.096
1.2,-8,-30.762,2.243,-0.093
1.2,-4,-31.686,2.395,-0.099
1.2,-2,-30.609,2.338,-0.115
1.2,0,-32.751,2.682,-0.096
1.2,2,-30.609,2.338,-0.115
1.2,4,-31.686,2.395,-0.099
1.2,8,-30.762,2.243,-0.093
1.2,12,-28.782,1.996,-0.096
1.2,16,-26.368,1.869,-0.098
1.2,20,-23.833,1.839,-0.101
2.0,-20,-17.82,1.58,-0.096
2.0,-16,-19.333,1.664,-0.096
2.0,-12,-20.856,1.806,-0.097
2.0,-8,-22.5,2.007,-0.096
2.0,-4,-23.699,2.14,-0.099
2.0,-2,-23.6,2.14,-0.107
2.0,0,-24.781,2.293,-0.097
2.0,2,-23.6,2.14,-0.107
2.0,4,-23.699,2.14,-0.099
2.0,8,-22.5,2.007,-0.096
2.0,12,-20.856,1.806,-0.097
2.0,16,-19.333,1.664,-0.096
2.0,20,-17.82,1.58,-0.096
3.0,-20,-15.284,1.404,-0.09
3.0,-16,-15.934,1.461,-0.087
3.0,-12,-16.651,1.537,-0.084
3.0,-8,-17.13,1.602,-0.083
3.0,-4,-17.091,1.579,-0.083
3.0,-2,-16.735,1.535,-0.087
3.0,0,-17.164,1.587,-0.082
3.0,2,-16.735,1.535,-0.087
3.0,4,-17.091,1.579,-0.083
3.0,8,-17.13,1.602,-0.083
3.0,12,-16.651,1.537,-0.084
3.0,16,-15.934,1.461,-0.087
3.0,20,-15.284,1.404,-0.09
4.0,-20,-14.36,1.34,-0.081
4.0,-16,-14.703,1.382,-0.077
4.0,-12,-14.979,1.436,-0.074
4.0,-8,-14.729,1.432,-0.071
4.0,-4,-13.89,1.31,-0.07
4.0,-2,-13.51,1.255,-0.072
4.0,0,-13.766,1.27,-0.069
4.0,2,-13.51,1.255,-0.072
4.0,4,-13.89,1.31,-0.07
4.0,8,-14.729,1.432,-0.071
4.0,12,-14.979,1.436,-0.074
4.0,16,-14.703,1.382,-0.077
4.0,20,-14.36,1.34,-0.081
5.0,-20,-14.253,1.345,-0.076
5.0,-16,-14.183,1.361,-0.072
5.0,-12,-13.892,1.367,-0.068
5.0,-8,-13.209,1.317,-0.064
5.0,-4,-12.218,1.175,-0.061
5.0,-2,-11.793,1.109,-0.062
5.0,0,-11.901,1.104,-0.059
5.0,2,-11.793,1.109,-0.062
5.0,4,-12.218,1.175,-0.061
5.0,8,-13.209,1.317,-0.064
5.0,12,-13.892,1.367,-0.068
5.0,16,-14.183,1.361,-0.072
5.0,20,-14.253,1.345,-0.076
