Mach,delta_deg,Cnd,Cmd
0.3,0.0,0.0,0.0
0.3,2.0,0.0314,1.83638
0.3,4.0,0.0247,1.90186
0.3,8.0,0.09296,3.81928
0.3,12.0,0.19917,5.63411
0.3,16.0,0.28514,6.84953
0.3,20.0,0.32899,7.87404
0.3,-2.0,-0.0314,-1.83638
0.3,-4.0,-0.0247,-1.90186
0.3,-8.0,-0.09296,-3.81928
0.3,-12.0,-0.19917,-5.63411
0.3,-16.0,-0.28514,-6.84953
0.3,-20.0,-0.32899,-7.87404
0.5,0.0,0.0,0.0
0.5,2.0,0.04445,1.70881
0.5,4.0,0.04348,1.74540
0.5,8.0,0.10282,3.69108
0.5,12.0,0.213,5.59778
0.5,16.0,0.29103,6.77256
0.5,20.0,0.33109,7.86067
0.5,-2.0,-0.04445,-1.70881
0.5,-4.0,-0.04348,-1.74540
0.5,-8.0,-0.10282,-3.69108
0.5,-12.0,-0.213,-5.59778
0.5,-16.0,-0.29103,-6.77256
0.5,-20.0,-0.33109,-7.86067
0.8,0.0,0.0,0.0
0.8,2.0,0.05317,1.40562
0.8,4.0,0.06704,1.49232
0.8,8.0,0.12522,3.34479
0.8,12.0,0.26647,5.68999
0.8,16.0,0.32226,6.74223
0.8,20.0,0.35818,7.78617
0.8,-2.0,-0.05317,-1.40562
0.8,-4.0,-0.06704,-1.49232
0.8,-8.0,-0.12522,-3.34479
0.8,-12.0,-0.26647,-5.68999
0.8,-16.0,-0.32226,-6.74223
0.8,-20.0,-0.35818,-7.78617
1.2,0.0,0.0,0.0
1.2,2.0,0.05852,1.92470
1.2,4.0,0.06231,1.83170
1.2,8.0,0.14457,3.83289
1.2,12.0,0.2489,5.49816
1.2,16.0,0.34455,6.97435
1.2,20.0,0.41111,8.22837
1.2,-2.0,-0.05852,-1.92470
1.2,-4.0,-0.06231,-1.83170
1.2,-8.0,-0.14457,-3.83289
1.2,-12.0,-0.2489,-5.49816
1.2,-16.0,-0.34455,-6.97435
1.2,-20.0,-0.41111,-8.22837
2.0,0.0,0.0,0.0
2.0,2.0,0.05286,1.05176
2.0,4.0,0.05459,1.02403
2.0,8.0,0.10793,2.09676
2.0,12.0,0.16453,2.96548
2.0,16.0,0.22615,3.92178
2.0,20.0,0.28391,4.62221
2.0,-2.0,-0.05286,-1.05176
2.0,-4.0,-0.05459,-1.02403
2.0,-8.0,-0.10793,-2.09676
2.0,-12.0,-0.16453,-2.96548
2.0,-16.0,-0.22615,-3.92178
2.0,-20.0,-0.28391,-4.62221
3.0,0.0,0.0,0.0
3.0,2.0,0.04173,0.56276
3.0,4.0,0.04257,0.55654
3.0,8.0,0.08363,1.12469
3.0,12.0,0.13047,1.70148
3.0,16.0,0.17143,2.26429
3.0,20.0,0.21516,2.77406
3.0,-2.0,-0.04173,-0.56276
3.0,-4.0,-0.04257,-0.55654
3.0,-8.0,-0.08363,-1.12469
3.0,-12.0,-0.13047,-1.70148
3.0,-16.0,-0.17143,-2.26429
3.0,-20.0,-0.21516,-2.77406
4.0,0.0,0.0,0.0
4.0,2.0,0.0358,0.35476
4.0,4.0,0.03616,0.35942
4.0,8.0,0.07259,0.71217
4.0,12.0,0.11267,1.09991
4.0,16.0,0.15236,1.48149
4.0,20.0,0.19352,1.88429
4.0,-2.0,-0.0358,-0.35476
4.0,-4.0,-0.03616,-0.35942
4.0,-8.0,-0.07259,-0.71217
4.0,-12.0,-0.11267,-1.09991
4.0,-16.0,-0.15236,-1.48149
4.0,-20.0,-0.19352,-1.88429
5.0,0.0,0.0,0.0
5.0,2.0,0.02985,0.25006
5.0,4.0,0.03314,0.24797
5.0,8.0,0.06139,0.46285
5.0,12.0,0.10156,0.75974
5.0,16.0,0.12356,0.8386
5.0,20.0,0.17569,1.12989
5.0,-2.0,-0.02985,-0.25006
5.0,-4.0,-0.03314,-0.24797
5.0,-8.0,-0.06139,-0.46285
5.0,-12.0,-0.10156,-0.75974
5.0,-16.0,-0.12356,-0.8386
5.0,-20.0,-0.17569,-1.12989
