time_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,velocity_total_m_s,position_x_m,position_y_m,position_z_m,altitude_m,ground_range_m,alpha_rad,alpha_deg,beta_rad,beta_deg,mach,mach_aero,q_dynamic_Pa,q_gain_pilot_kPa,airspeed_m_s,quat_w,quat_x,quat_y,quat_z,roll_deg,pitch_deg,yaw_deg,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,omega_x_deg_s,omega_y_deg_s,omega_z_deg_s,guidance_mode,guidance_quat_cmd_w,guidance_quat_cmd_x,guidance_quat_cmd_y,guidance_quat_cmd_z,autopilot_mode,autopilot_control_stage,moment_cmd_x_Nm,moment_cmd_y_Nm,moment_cmd_z_Nm,attitude_error_x_rad,attitude_error_y_rad,attitude_error_z_rad,rate_error_x_rad_s,rate_error_y_rad_s,rate_error_z_rad_s,autopilot_quat_used_w,autopilot_quat_used_x,autopilot_quat_used_y,autopilot_quat_used_z,autopilot_quat_cmd_used_w,autopilot_quat_cmd_used_x,autopilot_quat_cmd_used_y,autopilot_quat_cmd_used_z,fin1_deflection_rad,fin2_deflection_rad,fin3_deflection_rad,fin4_deflection_rad,fin1_deflection_deg,fin2_deflection_deg,fin3_deflection_deg,fin4_deflection_deg,force_x_N,force_y_N,force_z_N,thrust_x_N,thrust_y_N,thrust_z_N,moment_x_Nm,moment_y_Nm,moment_z_Nm,mass_kg,flight_phase,CN_base,CM_base,CY_base,Cn_base,CN_delta,CM_delta,CN_control,CM_control,CY_control,Cn_control,M_roll_aero,M_pitch_aero,M_yaw_aero,xbc_m,position_fur_x_m,position_fur_y_m,position_fur_z_m,velocity_fur_x_m_s,velocity_fur_y_m_s,velocity_fur_z_m_s,acceleration_fur_x_m_s2,acceleration_fur_y_m_s2,acceleration_fur_z_m_s2,acceleration_body_x_g,acceleration_body_y_g,acceleration_body_z_g,fin_rate_limited_flag,fin_position_limited_flag
1.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.338858e-01,0.000000e+00,5.519370e-01,0.000000e+00,0.000000e+00,6.700000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.520000e+02,2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
2.000000e-02,5.568133e-01,0.000000e+00,-1.213704e+00,1.335334e+00,5.568133e-03,0.000000e+00,-1.213704e-02,1.213704e-02,0.000000e+00,0.000000e+00,1.644337e+00,0.000000e+00,0.000000e+00,3.847731e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.338858e-01,0.000000e+00,5.519370e-01,0.000000e+00,0.000000e+00,6.700000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.270828e+04,0.000000e+00,0.000000e+00,-5.014540e+04,0.000000e+00,0.000000e+00,0.000000e+00,3.518840e+02,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
3.000000e-02,1.116496e+00,0.000000e+00,-2.434167e+00,2.678009e+00,1.673309e-02,0.000000e+00,-3.647870e-02,3.647870e-02,0.000000e+00,0.000000e+00,1.639829e+00,0.000000e+00,0.000000e+00,7.716615e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.338858e-01,0.000000e+00,5.519370e-01,0.000000e+00,0.000000e+00,6.700000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.293198e+04,0.000000e+00,0.000000e+00,-5.038720e+04,0.000000e+00,0.000000e+00,0.000000e+00,3.517679e+02,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
4.000000e-02,1.675867e+00,0.000000e+00,-3.653896e+00,4.019887e+00,3.349176e-02,0.000000e+00,-7.301767e-02,7.301767e-02,0.000000e+00,0.000000e+00,1.638656e+00,0.000000e+00,0.000000e+00,1.158321e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.338858e-01,0.000000e+00,5.519370e-01,0.000000e+00,0.000000e+00,6.700000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.289203e+04,0.000000e+00,0.000000e+00,-5.034260e+04,0.000000e+00,0.000000e+00,0.000000e+00,3.516519e+02,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
5.000000e-02,2.235154e+00,0.000000e+00,-4.873428e+00,5.361550e+00,5.584330e-02,0.000000e+00,-1.217519e-01,1.217519e-01,0.000000e+00,0.000000e+00,1.638136e+00,0.000000e+00,0.000000e+00,1.544919e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.338858e-01,0.000000e+00,5.519370e-01,0.000000e+00,0.000000e+00,6.700000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.287091e+04,0.000000e+00,0.000000e+00,-5.031850e+04,0.000000e+00,0.000000e+00,0.000000e+00,3.515359e+02,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
6.000000e-02,2.794357e+00,0.000000e+00,-6.092761e+00,6.702997e+00,8.378687e-02,0.000000e+00,-1.826796e-01,1.826796e-01,0.000000e+00,0.000000e+00,1.637877e+00,0.000000e+00,0.000000e+00,1.931455e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.338858e-01,0.000000e+00,5.519370e-01,0.000000e+00,0.000000e+00,6.700000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.284978e+04,0.000000e+00,0.000000e+00,-5.029440e+04,0.000000e+00,0.000000e+00,0.000000e+00,3.514198e+02,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
7.000000e-02,3.353238e+00,0.000000e+00,-7.311336e+00,8.043621e+00,1.173193e-01,0.000000e+00,-2.557929e-01,2.557929e-01,0.000000e+00,0.000000e+00,1.637872e+00,0.000000e+00,0.000000e+00,2.317754e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.338858e-01,0.000000e+00,5.519370e-01,0.000000e+00,0.000000e+00,6.700000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.280900e+04,0.000000e+00,0.000000e+00,-5.024900e+04,0.000000e+00,0.000000e+00,0.000000e+00,3.513038e+02,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
8.000000e-02,3.911827e+00,0.000000e+00,-8.529222e+00,9.383498e+00,1.564375e-01,0.000000e+00,-3.410851e-01,3.410851e-01,0.000000e+00,0.000000e+00,1.637999e+00,0.000000e+00,0.000000e+00,2.703840e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.338858e-01,0.000000e+00,5.519370e-01,0.000000e+00,0.000000e+00,6.700000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.277069e+04,0.000000e+00,0.000000e+00,-5.020630e+04,0.000000e+00,0.000000e+00,0.000000e+00,3.511878e+02,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
9.000000e-02,4.470154e+00,0.000000e+00,-9.746493e+00,1.072271e+01,2.011391e-01,0.000000e+00,-4.385501e-01,4.385501e-01,0.000000e+00,0.000000e+00,1.638197e+00,0.000000e+00,0.000000e+00,3.089733e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.338858e-01,0.000000e+00,5.519370e-01,0.000000e+00,0.000000e+00,6.700000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.273493e+04,0.000000e+00,0.000000e+00,-5.016640e+04,0.000000e+00,0.000000e+00,0.000000e+00,3.510718e+02,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
1.000000e-01,5.028247e+00,0.000000e+00,-1.096321e+01,1.206131e+01,2.514215e-01,0.000000e+00,-5.481822e-01,5.481822e-01,0.000000e+00,0.000000e+00,1.638432e+00,0.000000e+00,0.000000e+00,3.475455e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.338858e-01,0.000000e+00,5.519370e-01,0.000000e+00,0.000000e+00,6.700000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.270144e+04,0.000000e+00,0.000000e+00,-5.012900e+04,0.000000e+00,0.000000e+00,0.000000e+00,3.509557e+02,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
